Company Name,Industry Sector,State,City,Employee Count,Website,Hiring IT Staff,Current IT Roles,Technology Stack,Compliance Requirements,Contact Info
Stonepeak,Infrastructure Investment,New York,New York,251-500,https://stonepeak.com,Yes,Quantitative Developer Infrastructure Engineer IT Support,"Python, SQL Server, Bloomberg Terminal, Azure","SEC regulations, SOC2",careers@stonepeak.com:mailto:careers@stonepeak.com
Rogo,Financial Technology,New York,New York,51-100,https://rogo.ai,Yes,AI Engineer Backend Engineer DevOps Engineer,"Python, TensorFlow, AWS, PostgreSQL","SOC2, Financial regulations",careers@rogo.ai:mailto:careers@rogo.ai
Kalshi,Financial Services/Trading,New York,New York,51-100,https://kalshi.com,Yes,Software Engineer Platform Engineer Quantitative Developer,"Python, Go, PostgreSQL, AWS","CFTC regulations, SOC2",careers@kalshi.com:mailto:careers@kalshi.com
Roots,Insurance Technology,New York,New York,101-250,https://www.roots.ai,Yes,AI Engineer Software Engineer DevOps Engineer,"Python, Machine Learning, AWS, PostgreSQL","Insurance regulations, SOC2",careers@roots.ai:mailto:careers@roots.ai
Bilt Rewards,Financial Services/Real Estate,New York,New York,101-250,https://www.biltrewards.com,Yes,Software Engineer Mobile Engineer Data Engineer,"React Native, Node.js, AWS, MongoDB","PCI DSS, SOC2",careers@biltrewards.com:mailto:careers@biltrewards.com
CoinEx,Cryptocurrency Exchange,California,Los Angeles,251-500,https://www.coinex.com,Yes,Backend Engineer Security Engineer DevOps Engineer,"Java, Python, PostgreSQL, AWS","AML/KYC, SOC2",careers@coinex.com:mailto:careers@coinex.com
Accel-KKR,Private Equity,California,Menlo Park,101-250,http://www.accel-kkr.com,Yes,IT Analyst Infrastructure Engineer Systems Administrator,"Microsoft Office 365, Azure, SQL Server","SEC regulations, SOC2",careers@accel-kkr.com:mailto:careers@accel-kkr.com
Clearlake Capital Group,Private Equity,California,Santa Monica,101-250,https://clearlake.com,Yes,Quantitative Analyst IT Support Systems Administrator,"Bloomberg Terminal, Python, SQL Server, Azure","SEC regulations, SOC2",careers@clearlake.com:mailto:careers@clearlake.com
Stellar Development Foundation,Blockchain/Financial Infrastructure,California,San Francisco,101-250,https://www.stellar.org,Yes,Protocol Engineer Backend Engineer DevOps Engineer,"Go, Rust, PostgreSQL, AWS","Financial regulations, SOC2",careers@stellar.org:mailto:careers@stellar.org
Fieldguide,Audit & Advisory Technology,California,San Francisco,101-250,https://www.fieldguide.io,Yes,Software Engineer AI Engineer DevOps Engineer,"Python, AI/ML, AWS, PostgreSQL","SOC2, Audit regulations",careers@fieldguide.io:mailto:careers@fieldguide.io
Zip,Procurement/Financial Technology,California,San Francisco,251-500,https://www.ziphq.com,Yes,Software Engineer DevOps Engineer Security Engineer,"Python, React, AWS, PostgreSQL","SOC2, Financial regulations",careers@ziphq.com:mailto:careers@ziphq.com
Paradigm,Crypto Investment,California,San Francisco,51-100,https://paradigm.xyz,Yes,Protocol Engineer Backend Engineer DevOps Engineer,"Rust, Go, PostgreSQL, AWS","Financial regulations, SOC2",careers@paradigm.xyz:mailto:careers@paradigm.xyz
Solana,Blockchain Platform,California,San Francisco,51-100,https://solana.com,Yes,Protocol Engineer Backend Engineer DevOps Engineer,"Rust, C++, PostgreSQL, AWS","Financial regulations, SOC2",careers@solana.com:mailto:careers@solana.com
TomoCredit,Financial Services/Credit,California,San Francisco,51-100,https://www.tomocredit.com,Yes,Software Engineer Machine Learning Engineer DevOps Engineer,"Python, Machine Learning, AWS, PostgreSQL","PCI DSS, SOC2",careers@tomocredit.com:mailto:careers@tomocredit.com
RentSpree,Real Estate/Financial Technology,California,Los Angeles,101-250,http://www.rentspree.com,Yes,Full Stack Engineer Mobile Engineer DevOps Engineer,"React, Node.js, AWS, MongoDB","SOC2, Real estate regulations",careers@rentspree.com:mailto:careers@rentspree.com
MoonPay,Payment Processing,Delaware,Dover,251-500,https://www.moonpay.com,Yes,Software Engineer Backend Engineer DevOps Engineer,"Node.js, Python, AWS, PostgreSQL","PCI DSS, AML/KYC",careers@moonpay.com:mailto:careers@moonpay.com
General Catalyst,Venture Capital,California,San Francisco,101-250,http://www.generalcatalyst.com,Yes,Investment Technology Analyst IT Support Systems Administrator,"Microsoft Office 365, Bloomberg Terminal, SQL Server","SEC regulations, SOC2",careers@generalcatalyst.com:mailto:careers@generalcatalyst.com
Y Combinator,Startup Accelerator/Investment,California,Mountain View,51-100,http://www.ycombinator.com,Yes,Software Engineer DevOps Engineer IT Support,"Python, AWS, PostgreSQL, Docker","SOC2, Investment regulations",careers@ycombinator.com:mailto:careers@ycombinator.com
B Capital,Venture Capital,California,Manhattan Beach,101-250,https://b.capital,Yes,Investment Technology Analyst IT Support Data Engineer,"Python, SQL Server, AWS, Bloomberg Terminal","SEC regulations, SOC2",careers@b.capital:mailto:careers@b.capital
Index Ventures,Venture Capital,California,San Francisco,101-250,http://www.indexventures.com,Yes,Investment Analyst IT Support Systems Administrator,"Microsoft Office 365, Bloomberg Terminal, Azure","SEC regulations, SOC2",careers@indexventures.com:mailto:careers@indexventures.com
