Organization,Organization Description,Country,Organization Employee Count,Funding Total Value USD,Funding Total Currency,Last Funding Type,Categories,Organization Name,Founders,Investors
American Healthcare REIT,American Healthcare REIT provides and offers financial support and assistance on buildings.,United States,101-250,"$1,559,770,000",USD,post_ipo_equity,"Asset Management, Fitness, Health Care, Real Estate, Real Estate Investment",American Healthcare REIT,Jeff Hanson,"Bank of America, KeyBank, Citizens Bank"
Avidity Biosciences,Avidity Biosciences is a biotechnology company that develops oligonucleotide-based therapies for its patients.,United States,251-500,"$1,553,167,850",USD,post_ipo_equity,"Biotechnology, Health Care, Life Science, Pharmaceutical, Therapeutics",Avidity Biosciences,"Frank McCormick, Mark E. Davis, P. Kent Hawryluk, Troy Wilson","Wellington Management, Eli Lilly, RA Capital Management, Cormorant Asset Management, RTW Investments"
Celldex Therapeutics,Celldex is a clinical stage company dedicated to developing monoclonal and bispecific antibodies that address devastating diseases.,United States,101-250,"$1,536,000,000",USD,post_ipo_equity,"Biotechnology, Health Care, Oncology, Pharmaceutical",Celldex Therapeutics,"Anthony S. Marucci, Tibor Keler",
Zogenix,Zogenix develops and commercializes products for the treatment of central nervous system disorders and pain.,United States,101-250,"$1,520,577,656",USD,post_ipo_debt,"Biotechnology, Health Care, Pharmaceutical",Zogenix,"Jonathan M. Rigby, Roger Hawley","Abingworth, Silicon Valley Bank, Domain Associates, Clarus Ventures, Scale Venture Partners"
Halozyme Therapeutics,"Halozyme Therapeutics develops extracellular matrix targeting products for the insulin, cancer, dermatology and drug delivery markets.",United States,251-500,"$1,445,000,000",USD,post_ipo_debt,"Biotechnology, Marketing, Medical",Halozyme Therapeutics,Gregory Frost,"argenx, Athyrium Capital Management LP, Silicon Valley Bank, Oxford Finance LLC, Pharmakon Advisors"
Fate Therapeutics,Fate Therapeutics is a stem cell and developmental biology research company using biological mechanisms to develop stem cell therapeutics.,United States,101-250,"$1,348,828,348",USD,grant,"Biotechnology, Health Care, Therapeutics",Fate Therapeutics,"Alex Rives, David Scadden, Leonard Zon, Michael Rudnicki, Phillip Beachy, Randall Moon, Rudolf Jaenisch, Sheng Ding","Venrock, OrbiMed, ARCH Venture Partners, Polaris Partners, Adage Capital Management"
Neuralink,Neuralink is a neurotechnology company that focuses on developing brain-computer interfaces designed to treat neurological disorders.,United States,251-500,"$1,336,241,676",USD,series_e,"Biotechnology, Medical, Neuroscience, Robotics",Neuralink,"Dongjin Seo, Elon Musk, Max Hodak","Valor Equity Partners, Sequoia Capital, Founders Fund, Lightspeed Venture Partners, Craft Ventures"
Arcus Biosciences,"Arcus Biosciences is a biopharmaceutical company that discovers, develops, and commercializes novel therapies for the treatment of cancer.",United States,101-250,"$1,267,050,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Clinical Trials, Health Care, Medical, Pharmaceutical, Therapeutics",Arcus Biosciences,"Juan Jaen, Terry Rosen","Wellington Management, Novartis, Hillhouse Investment, EcoR1 Capital, Gilead Sciences"
Coherus Biosciences,"Coherus Biosciences develops, manufactures, and commercializes biologic therapeutics for oncology and inflammatory diseases.",United States,251-500,"$1,264,607,132",USD,post_ipo_equity,"Biotechnology, Health Care, Medical, Oncology, Therapeutics",Coherus Biosciences,"Dennis M. Lanfear, Stephen C. Glover","Venrock, RA Capital Management, Vivo Capital, F-Prime Capital, Kohlberg Kravis Roberts"
Kura Oncology,"Kura Oncology, a biopharmaceutical company, advances a pipeline of precision medicines for the treatment of solid tumors and blood cancers.",United States,101-250,"$1,241,425,500",USD,post_ipo_equity,"Biopharma, Biotechnology, Genetics, Health Care, Medical, Oncology, Precision Medicine",Kura Oncology,"Antonio Gualberto, Pingda Ren, Troy Wilson, Yi Liu","Deerfield Management, ARCH Venture Partners, Fidelity, OUP (Osage University Partners), EcoR1 Capital"
Turning Point Therapeutics,Turning Point Therapeutics is a pharmaceutical company that discovers and develops precision medicines for cancer and other diseases.,United States,251-500,"$1,180,709,731",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Precision Medicine, Therapeutics",Turning Point Therapeutics,"J. Jean Cui, Y. Peter Li","Cormorant Asset Management, OrbiMed, Foresite Capital, Lilly Asia Ventures, Nextech Invest"
iRhythm Technologies,iRhythm Technologies provides diagnostic monitoring solutions that facilitate the early diagnosis and treatment of cardiac arrhythmia.,United States,101-250,"$1,176,771,781",USD,post_ipo_debt,"Health Care, Health Diagnostics, Medical Device, mHealth, Wearables",iRhythm Technologies,Uday Kumar,"Norwest Venture Partners, Novo Holdings, Stanford University, Kaiser Permanente Ventures, New Leaf Venture Partners"
Eikon Therapeutics,Eikon Therapeutics is a biopharmaceutical company that develops live-cell resolution microscopy and engineering for drug discovery.,United States,251-500,"$1,122,700,000",USD,series_d,"Biotechnology, Health Care, Life Science, Medical",Eikon Therapeutics,"Eric Betzig, Luke Lavi, Robert Tjian, Xavier Darzacq","General Catalyst, StepStone Group, Schroders Capital, Lux Capital, EcoR1 Capital"
FFF Enterprises,"FFF Enterprises is a Pharmaceuticals supplier of critical-care biopharmaceuticals, plasma products and vaccines.",United States,251-500,"$1,119,000,000",USD,debt_financing,"Biotechnology, Health Care, Medical, Pharmaceutical",FFF Enterprises,Patrick M. Schmidt,
Travere Therapeutics,Travere discovers and develops drugs for the treatment of catastrophic diseases that are debilitating and often life-threatening.,United States,101-250,"$1,067,000,000",USD,post_ipo_equity,"Biotechnology, Health Care, Medical",Travere Therapeutics,Martin Shkreli,Athyrium Capital Management LP
Arena Pharmaceuticals,"Arena Pharmaceuticals is focused on delivering solutions for cardiovascular, central nervous system, inflammatory and metabolic diseases.",United States,251-500,"$1,059,760,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical",Arena Pharmaceuticals,Dominic Behan,"Deerfield, Farallon Capital Management, Deerfield Capital Management"
Structure Therapeutics,Structure Therapeutics specializes in the discovery and development of drugs against a type of targets called GPCR.,United States,101-250,"$1,054,400,640",USD,post_ipo_equity,"Biotechnology, Health Care, Medical, Pharmaceutical, Product Research",Structure Therapeutics,Raymond Stevens,"Qiming Venture Partners, HSG, Cormorant Asset Management, Lilly Asia Ventures, Janus Henderson Investors"
Kodiak Sciences,Kodiak is designing and developing novel therapies for the treatment of retinal disease.,United States,101-250,"$1,031,230,000",USD,post_ipo_equity,"Biotechnology, Health Care, Therapeutics",Kodiak Sciences,"Stephen Charles, Victor Perlroth","Perceptive Advisors, ArrowMark Partners, Rivas Capital"
Aerie Pharmaceuticals,Aerie Pharmaceuticals is a clinical-stage pharmaceutical company developing products for the treatment of glaucoma.,United States,251-500,"$1,026,114,965",USD,post_ipo_equity,"Biotechnology, Health Care, Medical, Pharmaceutical",Aerie Pharmaceuticals,"Casey C. Kopczynski, Thomas J. van Haarlem","Sofinnova Investments, OUP (Osage University Partners), Deerfield, Alta Partners, TPG Biotech"
Click Therapeutics,Click Therapeutics develops software as a medical treatment prescription platform designed to deliver digital treatments for patients.,United States,101-250,"$1,006,229,459",USD,series_c,"Biotechnology, Health Care, Medical Device, Pharmaceutical, Therapeutics",Click Therapeutics,"Bruce Leuchter, David Benshoof Klein, Victor Gao","Accelmed, Hikma Ventures, Revelation Partners, Boehringer Ingelheim, Silicon Valley Bank"
Assertio,Assertio is a pharmaceutical company focused on developing and commercializing products to treat pain and other.,United States,101-250,"$1,006,000,000",USD,post_ipo_equity,"Biotechnology, Health Care, Health Diagnostics, Life Science, Medical, Pharmaceutical",Assertio,,"Morgan Stanley, Deerfield, RBC Capital Markets, Pharmakon Advisors, Thomas Weisel Partners"
Xaira Therapeutics,Xaira Therapeutics is an integrated biotechnology company driving advances in artificial intelligence.,United States,51-100,"$1,000,000,000",USD,series_a,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics",Xaira Therapeutics,"Arvind Rajpal, David Baker, Don Kirkpatrick, Hetu Kamisetty, Joe Watchwell Watson, Marc Tessier-Lavigne","Menlo Ventures, New Enterprise Associates, Sequoia Capital, Lightspeed Venture Partners, Lux Capital"
Biomat USA,Biomat USA is a blood and plasma donation center.,United States,251-500,"$1,000,000,000",USD,private_equity,Health Care,Biomat USA,J.A. Grifols Roig,GIC
NantHealth,NantHealth is a healthcare company providing an evidence-based platform for healthcare diagnostics.,United States,251-500,"$980,200,000",USD,post_ipo_debt,"Health Care, Health Diagnostics, Hospital, Medical, Therapeutics",NantHealth,Patrick Soon-Shiong,"Blackstone Group, Blackberry, Highbridge Capital Management, Veradigm, Kuwait Investment Authority"
Heron Therapeutics,Heron Therapeutics is a biotechnology firm specializing in polymer-based pharmaceuticals.,United States,101-250,"$974,050,000",USD,post_ipo_equity,"Biotechnology, Health Care, Therapeutics",Heron Therapeutics,Barry Quart,"Great Point Partners, Hercules Capital, Deep Track Capital, Rubric Capital Management, Tang Capital Management"
Vera Therapeutics,Vera Therapeutics is a biotechnology company developing innovative biologic therapeutics with transformative clinical potential.,United States,101-250,"$971,400,000",USD,post_ipo_debt,"Biotechnology, Health Care",Vera Therapeutics,Marshall Fordyce,"Kleiner Perkins, Longitude Capital, Fidelity, Abingworth, Alexandria Venture Investments"
Global Blood Therapeutics,GBT is a clinical-stage biopharmaceutical company developing a therapy for sickle cell disease.,United States,251-500,"$969,500,000",USD,post_ipo_debt,"Biotechnology, Genetics, Medical, Therapeutics",Global Blood Therapeutics,"Andrej Sali, Charles Homcy, Craig Muir, David Phillips, Jack Taunton, Matthew Jacobson","Wellington Management, RA Capital Management, Third Rock Ventures, Deerfield, Sabby Capital"
Nuvation Bio,Nuvation Bio is a global biopharmaceutical company focusing on unmet needs in oncology.,United States,101-250,"$927,000,000",USD,post_ipo_debt,"Biotechnology, Health Care, Pharmaceutical",Nuvation Bio,"David Hung, Gary Hattersley","Wellington Management, OrbiMed, Perceptive Advisors, Fidelity, Ally Bridge Group"
Vir Biotechnology,Vir Biotechnology is an immunology company that develops products to treat and prevent infectious diseases and other serious conditions.,United States,251-500,"$908,600,000",USD,grant,"Biotechnology, Health Care, Medical, Therapeutics",Vir Biotechnology,"Klaus Frueh, Louis Picker, Robert Nelsen","Bill & Melinda Gates Foundation, ARCH Venture Partners, SoftBank Vision Fund, Alta Partners, GlaxoSmithKline"
Transcarent,Transcarent is a provider of a healthcare platform that facilitates improved outcomes and cost-effective decisions.,United States,251-500,"$904,999,962",USD,undisclosed,"Health Care, Personal Health, Software",Transcarent,Glen Tullman,"General Catalyst, Kleiner Perkins, Human Capital, Geodesic Capital, Ally Bridge Group"
Rocket Pharmaceuticals,Rocket Pharmaceuticals is a biotech company that develops a pipeline of genetic therapies for rare childhood disorders.,United States,251-500,"$891,357,888",USD,post_ipo_equity,"Biotechnology, Genetics, Health Care, Pharmaceutical",Rocket Pharmaceuticals,Gaurav Shah,"RTW Investments, Frazier Healthcare Partners, Civilization Ventures, California Institute for Regenerative Medicine, Sahsen Ventures"
Ligand Pharmaceuticals,Ligand is a biopharmaceutical company focused on developing or acquiring technologies that help pharmaceutical companies.,United States,101-250,"$875,000,000",USD,post_ipo_debt,"Biotechnology, Medical, Pharmaceutical",Ligand Pharmaceuticals,Brook Byers,Venrock
IVERIC bio,IVERIC bio is a biopharmaceutical company developing novel therapies for age-related macular degeneration.,United States,101-250,"$857,900,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical",IVERIC bio,Samir Patel,"SV Health Investors, Novo Holdings, Frazier Healthcare Partners, Sofinnova Investments, Clarus Ventures"
Gossamer Bio,Gossamer Bio is a biopharmaceutical company focused on the discovery and development of novel and differentiated therapeutic products.,United States,101-250,"$812,000,000",USD,post_ipo_equity,"Biotechnology, Health Care, Therapeutics",Gossamer Bio,"Faheem Hasnain, Sheila Gujrathi","New Enterprise Associates, ARCH Venture Partners, Samsara BioCapital, Hillhouse Investment, MidCap Financial"
Puma Biotechnology,Puma Biotechnology acquires and develops innovative products for the treatment of various forms of cancer.,United States,101-250,"$809,300,000",USD,post_ipo_equity,"Biotechnology, Medical, Therapeutics",Puma Biotechnology,Alan H. Auerbach,"OrbiMed, Silicon Valley Bank, Adage Capital Management, T. Rowe Price, Athyrium Capital Management LP"
Immunomedics,Immunomedics is a biopharmaceutical company that specializes in developing monoclonal antibody-based products for the treatment of cancer.,United States,101-250,"$802,000,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Therapeutics",Immunomedics,David M. Goldenberg,New Enterprise Associates
Biosplice Therapeutics,Biosplice Therapeutics is in the medical research and development for tissue-level regeneration.,United States,51-100,"$778,000,000",USD,grant,"Biotechnology, Health Care, Life Science",Biosplice Therapeutics,Osman Kibar,"Sands Capital Ventures, Verition Fund Management, Vickers Venture Partners, Swicorp, aMoon Fund"
Audentes Therapeutics,Audentes is a biotechnology company that employs gene therapy technology to develop treatments for people with rare muscle diseases.,United States,251-500,"$744,700,000",USD,post_ipo_equity,"Biotechnology, Genetics, Health Care, Health Diagnostics",Audentes Therapeutics,"Matthew Patterson, Thomas Schuetz","Cormorant Asset Management, RA Capital Management, OrbiMed, Versant Ventures, Venrock"
ADMA Biologics,ADMA Biologics develops plasma-based biologics for the treatment and prevention of certain infectious diseases.,United States,51-100,"$742,350,000",USD,post_ipo_debt,"Biotechnology, Health Care, Manufacturing, Medical",ADMA Biologics,"Adam Grossman, Jerrold B. Grossman","Ares Management, Perceptive Advisors, Marathon Asset Management, Aisling Capital, Hercules Capital"
Rakuten Medical,Rakuten Medical is a biotechnology company developing investigational cancer therapies based on its proprietary Alluminox™ platform.,United States,101-250,"$737,591,700",USD,grant,"Biotechnology, Health Care, Medical, Service Industry, Therapeutics",Rakuten Medical,Miguel Garcia Guzman,"General Catalyst, Rakuten, Dai-ichi Life, Mizuho Bank, Hikma Pharmaceuticals"
Auris Health,Auris Health engages in the development of robotics technology for medical applications.,United States,101-250,"$733,296,837",USD,secondary_market,"Biotechnology, Health Care, Medical, Medical Device, Robotics",Auris Health,"Christopher J. P. Velis, Fred Moll, M.D, Hari Sundram","Wellington Management, Coatue, Lux Capital, S32, Highland Capital Partners"
Kindly MD,"Kindly MD is a healthcare company that provides sleep support, pain treatment, and data analytics solutions for medication management.",United States,51-100,"$710,000,000",USD,post_ipo_equity,"Analytics, Health Care, Medical",Kindly MD,Timothy Pickett,"Eric Semler, Jihan Wu, VanEck, Arrington Capital, Balaji Srinivasan"
Precigen,Precigen is a life sciences company researching and developing bio-therapeutic control systems to minimize toxicity.,United States,101-250,"$709,803,901",USD,post_ipo_equity,"Biotechnology, Life Science, Medical, Therapeutics",Precigen,Thomas D. Reed,"Third Security, Randal J. Kirk, Patient Capital Management, Bill Miller, NewVa Capital Partners"
IGM Biosciences,"IGM Biosciences is a biotechnology company that develops medicine for people with infectious infections, autoimmune diseases, and cancer.",United States,101-250,"$699,301,000",USD,post_ipo_equity,"Biotechnology, Medical, Therapeutics",IGM Biosciences,Nelson Teng,"Vivo Capital, Redmile Group, Janus Henderson Investors, Topsoe, Baker Brothers Advisors LLC"
Pliant Therapeutics,"Pliant Therapeutics focuses on discovering, developing, and commercializing breakthrough treatments for fibrotic diseases.",United States,101-250,"$694,945,146",USD,post_ipo_equity,"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical, Recruiting, Therapeutics",Pliant Therapeutics,"Bill DeGrado, Bradley Backes, Dean Sheppard, Hal Chapman","Menlo Ventures, Cormorant Asset Management, Redmile Group, Third Rock Ventures, Agent Capital"
IDEAYA Biosciences,IDEAYA Biosciences is an oncology-focused biotechnology company that develops therapeutics for patients with genetically-defined cancers.,United States,101-250,"$694,100,000",USD,post_ipo_equity,"Biotechnology, Health Care, Oncology, Therapeutics",IDEAYA Biosciences,"Jeffrey Hager, Yujiro S. Hata","Perceptive Advisors, 5AM Ventures, Alexandria Venture Investments, Canaan Partners, Google Ventures"
Day One Biopharmaceuticals,Day One Biopharmaceuticals develops targeted therapies to treat people with life-threatening diseases.,United States,101-250,"$687,500,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Pharmaceutical",Day One Biopharmaceuticals,"Julie Papanek Grant, Samuel Blackman","Franklin Templeton, Wellington Management, RA Capital Management, Frazier Healthcare Partners, Perceptive Advisors"
Xencor,"Xencor develops superior monoclonal antibody therapeutics to treat autoimmune disorders, asthma, allergic diseases and cancer.",United States,251-500,"$683,897,653",USD,post_ipo_equity,"Biotechnology, Health Care, Therapeutics",Xencor,Bassil Dahiyat,"Novo Nordisk, Stafford Capital Partners, Moore Capital, Oxford Bioscience Partners, Sands Brothers"
RefleXion Medical,RefleXion Medical is a developer of biologically-guided radiotherapy systems for patients with cancer.,United States,251-500,"$675,100,000",USD,series_unknown,"Biotechnology, Health Care, Medical, Medical Device, Therapeutics",RefleXion Medical,"Akshay Nanduri, Sam Mazin","Venrock, Catalio Capital Management, Sofinnova Partners, Sixty Degree Capital, Ally Bridge Group"
Relypsa,Relypsa is a biopharmaceutical company developing drugs for treating cardiovascular and renal diseases.,United States,251-500,"$669,029,887",USD,post_ipo_debt,"Biopharma, Biotechnology, Health Care",Relypsa,Gerrit Klaerner,"OrbiMed, 5AM Ventures, Silicon Valley Bank, New Leaf Venture Partners, Athyrium Capital Management LP"
Theravance Biopharma,Theravance Biopharma is a biopharmaceutical company with one approved product.,United States,251-500,"$663,200,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Medical, Pharmaceutical",Theravance Biopharma,George Whitesides,"Lauder Partners, Woodford Investment Management"
Apogee Therapeutics,Apogee Therapeutics is a biotechnology company that offers therapies for immunological and inflammatory disorders.,United States,101-250,"$652,000,000",USD,post_ipo_equity,"Biotechnology, Life Science, Medical, Therapeutics",Apogee Therapeutics,Nimish Shah,"Wellington Management, RA Capital Management, Perceptive Advisors, OrbiMed, RTW Investments"
Insitro,Insitro is a drug discovery and development startup that utilizes machine learning and biology to transform drug discovery.,United States,251-500,"$643,000,000",USD,series_c,"Biotechnology, Health Care, Life Science, Machine Learning, Pharmaceutical, Therapeutics",Insitro,Daphne Koller,"Andreessen Horowitz, BlackRock, Temasek Holdings, Verily, ARCH Venture Partners"
Sutro Biopharma,Sutro Biopharma develops protein therapeutics by using OCFS protein synthesis technology.,United States,251-500,"$636,605,000",USD,post_ipo_equity,"Biotechnology, Information Technology, Medical",Sutro Biopharma,James R. Swartz,"Eli Lilly, SV Health Investors, Frazier Healthcare Partners, Samsara BioCapital, Blackstone Life Sciences"
ChemoCentryx,ChemoCentryx is a biopharmaceutical company that develops medications for inflammatory and autoimmune diseases and cancer.,United States,101-250,"$634,340,000",USD,post_ipo_equity,"Biotechnology, Health Care, Medical Device",ChemoCentryx,Thomas J. Schall,"OrbiMed, HealthCap, Hercules Capital, Alta Partners, Jennison Associates"
Senseonics,"Senseonics is a medical device startup company that focuses on the design, development, and commercialization of glucose monitoring systems.",United States,101-250,"$634,299,998",USD,post_ipo_equity,"Biotechnology, Health Care, Medical, Medical Device, Sensor, Wearables",Senseonics,M. James Barrett,"New Enterprise Associates, Rho Capital Partners, Abingworth, Hercules Capital, Abbott"
Annexon Biosciences,"Annexon Biosciences is a biotech company, discovering and developing novel therapeutics for neurodegenerative and autoimmune disorders.",United States,101-250,"$633,999,999",USD,post_ipo_equity,"Biotechnology, Health Care, Health Diagnostics, Life Science, Therapeutics",Annexon Biosciences,"Arnon Rosenthal, Ben Barres","New Enterprise Associates, BlackRock, Correlation Ventures, Blackstone Life Sciences, Redmile Group"
ArsenalBio,ArsenalBio is a programmable cell therapy company that offers CAR T-cell therapies for solid tumors.,United States,251-500,"$630,806,682",USD,series_c,"Biotechnology, Cloud Computing, Life Science, Medical",ArsenalBio,"Ken Drazan, Kole Roybal, W. Nicholas Haining","Sixth Street, Kleiner Perkins, ARCH Venture Partners, Hitachi Ventures, SoftBank Vision Fund"
Impulse Dynamics,Impulse Dynamics is a medical device company offering innovative solutions for the treatment of chronic heart failure.,United States,101-250,"$627,765,181",USD,series_unknown,"Biotechnology, Hospital, Medical, Medical Device",Impulse Dynamics,"Lewis Pell, Shlomo Haim","Wellington Management, Perceptive Advisors, Redmile Group, Kennedy Lewis Investment Management, Alger"
Tricida,Tricida operates in the healthcare industry focusing on pharmaceutical business.,United States,51-100,"$624,014,244",USD,post_ipo_debt,"Health Care, Medical, Pharmaceutical",Tricida,Gerrit Klaerner,"Wellington Management, Cormorant Asset Management, OrbiMed, Venrock, Frazier Healthcare Partners"
Arcellx,Arcellx is a clinical-stage biotechnology company that provides patients with immune cell therapies.,United States,101-250,"$621,999,986",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Life Science, Pharmaceutical",Arcellx,David Hilbert,"New Enterprise Associates, Samsara BioCapital, SR One, Novo Holdings, Soleus Capital"
Commure,Commure is an AI-based company that specializes in health care.,United States,251-500,"$620,502,055",USD,series_unknown,"Health Care, Innovation Management, Software",Commure,"Diede van Lamoen, Eugene Kuznetsov, Hemant Taneja","General Catalyst, Quiet Capital, FJ Labs, Human Capital, Green Sands Equity"
Century Therapeutics,Century Therapeutics is a biotechnology company that develops cell therapies for hematological and solid tumor malignancies.,United States,101-250,"$620,000,000",USD,post_ipo_equity,"Biotechnology, Health Care, Health Diagnostics",Century Therapeutics,Marcela Maus,"OrbiMed, RA Capital Management, Versant Ventures, Fidelity, Bain Capital Life Sciences"
Gritstone bio,Gritstone bio is a biotechnology company that develops immunotherapies for cancer and infectious diseases.,United States,101-250,"$604,100,000",USD,post_ipo_equity,"Biotechnology, Health Care, Therapeutics",Gritstone bio,Andrew Allen,"Redmile Group, Versant Ventures, Frazier Healthcare Partners, Gilead Sciences, Lilly Asia Ventures"
Kriya Therapeutics,"Kriya Therapeutics is a biopharmaceutical company that develops gene therapies for ophthalmology, neurology, and metabolic diseases.",United States,101-250,"$600,500,000",USD,series_c,"Biotechnology, Health Care, Life Science",Kriya Therapeutics,"Fraser Wright, Roger Jeffs, Shankar Ramaswamy","Alumni Ventures, Amplo, Patient Square Capital, Narya Capital, Foresite Capital"
Ultima Genomics,Ultima Genomics is a developer of a low-cost sequencing platform.,United States,251-500,"$600,000,000",USD,series_unknown,"Biotechnology, Health Care, Life Science, Medical",Ultima Genomics,"Gilad Almogy, Mark Pratt","Andreessen Horowitz, General Atlantic, Lightspeed Venture Partners, Khosla Ventures, Founders Fund"
Immunome,"Immunome is a biotechnology company that specializes in immunotherapy, biotechnology, and antigen discovery.",United States,101-250,"$598,854,487",USD,post_ipo_equity,"Biopharma, Biotechnology, Medical, Pharmaceutical",Immunome,Scott Dessain,"Redmile Group, EcoR1 Capital, BioAdvance, Avidity Partners, Janus Henderson Investors"
Nkarta Therapeutics,Nkarta Therapeutics is a developer of cell engineering platform created to build the next generation of cell therapies.,United States,101-250,"$595,000,000",USD,post_ipo_equity,"Biotechnology, Health Care",Nkarta Therapeutics,Dario Campana,"New Enterprise Associates, OrbiMed, RA Capital Management, Cormorant Asset Management, Samsara BioCapital"
Immunic Therapeutics,Immunic is a biopharmaceutical company that develops a pipeline of selective oral immunology therapies.,United States,51-100,"$594,463,541",USD,post_ipo_equity,"Biotechnology, Life Science, Medical, Therapeutics",Immunic Therapeutics,Andreas Muehler,"High-Tech Gruenderfonds, Vivo Capital, RTW Investments, Soleus Capital, Omega Funds"
Rapt Therapeutics,Rapt  is focused on the discovery and development of novel small-molecule agents to activate the immune system to eradicate cancer.,United States,101-250,"$590,200,016",USD,post_ipo_equity,"Biotechnology, Health Care, Medical, Pharmaceutical, Therapeutics",Rapt Therapeutics,Brian Wong,"OrbiMed, Kleiner Perkins, RTW Investments, Perceptive Advisors, Redmile Group"
Olema Oncology,Olema Oncology is a preclinical biotechnology company that develops new drugs for the treatment and prevention of breast cancer.,United States,101-250,"$575,054,922",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Medical, Oncology, Pharmaceutical",Olema Oncology,"Cyrus L. Harmon, Peter Kushner","Wellington Management, BlackRock, Lightspeed Venture Partners, Venrock, OrbiMed"
